doc_id	token	lemma	upos
blaze	Silver	silver	PROPN
blaze	Blaze	Blaze	PROPN
blaze	“	"	PUNCT
blaze	I	I	PRON
blaze	am	be	AUX
blaze	afraid	afraid	ADJ
blaze	,	,	PUNCT
blaze	Watson	Watson	PROPN
blaze	,	,	PUNCT
blaze	that	that	SCONJ
blaze	I	I	PRON
blaze	shall	shall	AUX
blaze	have	have	VERB
blaze	to	to	PART
blaze	go	go	VERB
blaze	,	,	PUNCT
blaze	”	"	PUNCT
blaze	said	say	VERB
blaze	Holmes	Holmes	PROPN
blaze	,	,	PUNCT
blaze	as	as	SCONJ
blaze	we	we	PRON
blaze	sat	sit	VERB
blaze	down	down	ADV
blaze	together	together	ADV
blaze	to	to	ADP
blaze	our	we	PRON
blaze	breakfast	breakfast	NOUN
blaze	one	one	NUM
blaze	morning	morning	NOUN
blaze	.	.	PUNCT
blaze	“	"	PUNCT
blaze	Go	go	PROPN
blaze	!	!	PUNCT
blaze	Where	where	ADV
blaze	to	to	ADP
blaze	?	?	PUNCT
blaze	”	"	PUNCT
blaze	“	"	PUNCT
blaze	To	to	ADP
blaze	Dartmoor	Dartmoor	PROPN
blaze	;	;	PUNCT
blaze	to	to	ADP
blaze	King	King	PROPN
blaze	's	's	PART
blaze	Pyland	Pyland	PROPN
blaze	.	.	PUNCT
blaze	”	"	PUNCT
blaze	I	I	PRON
blaze	was	be	AUX
blaze	not	not	PART
blaze	surprised	surprised	ADJ
blaze	.	.	PUNCT
blaze	Indeed	indeed	ADV
blaze	,	,	PUNCT
blaze	my	my	PRON
blaze	only	only	ADV
blaze	wonder	wonder	VERB
blaze	was	be	VERB
blaze	that	that	SCONJ
blaze	he	he	PRON
blaze	had	have	VERB
blaze	not	not	PART
blaze	already	already	ADV
blaze	been	be	AUX
blaze	mixed	mix	VERB
blaze	up	up	ADP
blaze	in	in	ADP
blaze	this	this	DET
blaze	extraordinary	extraordinary	ADJ
blaze	case	case	NOUN
blaze	,	,	PUNCT
blaze	which	which	PRON
blaze	was	be	AUX
blaze	the	the	DET
blaze	one	one	NUM
blaze	topic	topic	NOUN
blaze	of	of	ADP
blaze	conversation	conversation	NOUN
blaze	through	through	ADP
blaze	the	the	DET
blaze	length	length	NOUN
blaze	and	and	CCONJ
blaze	breadth	breadth	NOUN
blaze	of	of	ADP
blaze	England	England	PROPN
blaze	.	.	PUNCT
blaze	For	for	ADP
blaze	a	a	DET
blaze	whole	whole	ADJ
blaze	day	day	NOUN
blaze	my	my	PRON
blaze	companion	companion	NOUN
blaze	had	have	AUX
blaze	rambled	ramble	VERB
blaze	about	about	ADP
blaze	the	the	DET
blaze	room	room	NOUN
blaze	with	with	ADP
blaze	his	he	PRON
blaze	chin	ching	NOUN
blaze	upon	upon	ADP
blaze	his	he	PRON
blaze	chest	chest	NOUN
blaze	and	and	CCONJ
blaze	his	he	PRON
blaze	brows	brows	NOUN
blaze	knitted	knit	VERB
blaze	,	,	PUNCT
blaze	charging	charge	VERB
blaze	and	and	CCONJ
blaze	recharging	recharge	VERB
blaze	his	he	PRON
blaze	pipe	pipe	NOUN
blaze	with	with	ADP
blaze	the	the	DET
blaze	strongest	strongest	ADJ
blaze	black	black	ADJ
blaze	tobacco	tobacco	NOUN
blaze	,	,	PUNCT
blaze	and	and	CCONJ
blaze	absolutely	absolutely	ADV
blaze	deaf	deaf	ADV
blaze	to	to	ADP
blaze	any	any	DET
blaze	of	of	ADP
blaze	my	my	PRON
blaze	questions	question	NOUN
blaze	or	or	CCONJ
blaze	remarks	remark	NOUN
blaze	.	.	PUNCT
blaze	Fresh	Fresh	PROPN
blaze	editions	edition	NOUN
blaze	of	of	ADP
blaze	every	every	DET
blaze	paper	paper	NOUN
blaze	had	have	AUX
blaze	been	be	AUX
blaze	sent	send	VERB
blaze	up	up	ADP
blaze	by	by	ADP
blaze	our	we	PRON
blaze	news	news	NOUN
blaze	agent	agent	NOUN
