doc_id	token	lemma	upos
roget	THE	the	DET
roget	MYSTERY	mystery	NOUN
roget	OF	of	ADP
roget	MARIE	Marie	PROPN
roget	ROGET	ROGET	PROPN
roget	.	.	PUNCT
roget	A	a	DET
roget	SEQUEL	Sequel	NOUN
roget	TO	to	PART
roget	"	"	PUNCT
roget	THE	the	DET
roget	MURDERS	murder	PROPN
roget	IN	in	ADP
roget	THE	the	DET
roget	RUE	Rue	PROPN
roget	MORGUE	Morgue	PROPN
roget	.	.	PUNCT
roget	"	"	PUNCT
roget	Es	Es	PROPN
roget	giebt	giebt	VERB
roget	eine	eine	NUM
roget	Reihe	Reio	NOUN
roget	idealischer	idealischer	NOUN
roget	Begebenheiten	Begebenheiten	PROPN
roget	,	,	PUNCT
roget	die	die	VERB
roget	der	der	NOUN
roget	Wirklichkeit	Wirklichkeit	NOUN
roget	parallel	parallel	NOUN
roget	lauft	lauft	NOUN
roget	.	.	PUNCT
roget	Selten	Selten	ADV
roget	fallen	fallen	VERB
roget	sie	sie	NOUN
roget	zusammen	zusamman	NOUN
roget	.	.	PUNCT
roget	Menschen	Menschen	DET
roget	und	und	ADJ
roget	zufalle	zufalle	NOUN
roget	modifieiren	modifiei	NOUN
roget	gewohulich	gewohulich	PRON
roget	die	die	VERB
roget	idealische	idealisco	PRON
roget	Begebenheit	Begebenheit	PROPN
roget	,	,	PUNCT
roget	so	so	ADV
roget	dass	dass	ADV
roget	sie	sie	VERB
roget	unvollkommen	unvollkommen	ADJ
roget	erscheint	erscheint	NOUN
roget	,	,	PUNCT
roget	und	und	NOUN
roget	ihre	ihre	AUX
roget	Folgen	Folgen	VERB
roget	gleichfalls	gleichfall	NOUN
roget	unvollkommen	unvollkommen	ADJ
roget	sind	sind	NOUN
roget	.	.	PUNCT
roget	So	so	ADV
roget	bei	bei	ADJ
roget	der	der	NOUN
roget	Reformation	Reformation	NOUN
roget	;	;	PUNCT
roget	statt	statt	NOUN
roget	des	des	NOUN
roget	Protestantismus	Protestantismus	CCONJ
roget	kam	kam	NOUN
roget	das	da	NOUN
roget	Lutherthum	Lutherthum	PROPN
roget	hervor	hervor	NOUN
roget	.	.	PUNCT
roget	There	there	PRON
roget	are	be	VERB
roget	ideal	ideal	ADJ
roget	series	series	NOUN
roget	of	of	ADP
roget	events	event	NOUN
roget	which	which	PRON
roget	run	run	VERB
roget	parallel	parallel	NOUN
roget	with	with	ADP
roget	the	the	DET
roget	real	real	ADJ
roget	ones	one	NOUN
roget	.	.	PUNCT
roget	They	they	PRON
roget	rarely	rarely	ADV
roget	coincide	coincide	VERB
roget	.	.	PUNCT
roget	Men	man	NOUN
roget	and	and	CCONJ
roget	circumstances	circumstance	NOUN
roget	generally	generally	ADV
roget	modify	modify	VERB
roget	the	the	DET
roget	ideal	ideal	ADJ
roget	train	train	NOUN
roget	of	of	ADP
roget	events	event	NOUN
roget	,	,	PUNCT
roget	so	so	SCONJ
roget	that	that	SCONJ
roget	it	it	PRON
roget	seems	seem	VERB
roget	imperfect	imperfect	ADJ
roget	,	,	PUNCT
roget	and	and	CCONJ
roget	its	its	PRON
roget	consequences	consequence	NOUN
roget	are	be	AUX
roget	equally	equally	ADV
roget	imperfect	imperfect	ADJ
roget	.	.	PUNCT
roget	Thus	thus	ADV
roget	with	with	ADP
roget	the	the	DET
roget	Reformation	Reformation	NOUN
roget	;	;	PUNCT
roget	instead	instead	ADV
roget	of	of	ADP
roget	Protestantism	Protestantism	PROPN
roget	came	come	VERB
roget	Lutheranism	Lutheranism	PROPN
roget	.	.	PUNCT
roget	--	--	PUNCT
roget	Novalis	Novalis	PROPN
roget	.	.	PUNCT
roget	Moral	Moral	PROPN
roget	Ansichten	Ansichten	PROPN
roget	.	.	PUNCT
roget	THERE	there	PRON
roget	are	be	VERB
roget	few	few	ADJ
roget	persons	person	NOUN
roget	,	,	PUNCT
roget	even	even	ADV
roget	among	among	ADP
roget	the	the	DET
roget	calmest	calmest	ADJ
roget	thinkers	thinker	NOUN
roget	,	,	PUNCT
roget	who	who	PRON
roget	have	have	AUX
roget	not	not	PART
roget	occasionally	occasionally	ADV
roget	been	be	AUX
roget	startled	start	VERB
roget	into	into	ADP
roget	a	a	DET
roget	vague	vague	NOUN
roget	yet	yet	ADV
roget	thrilling	thrill	VERB
roget	half-credence	half-credence	NOUN
roget	in	in	ADP
roget	the	the	DET
roget	supernatural	supernatural	ADJ
roget	,	,	PUNCT
roget	by	by	ADP
roget	coincidences	coincidence	NOUN
roget	of	of	ADP
roget	so	so	ADV
roget	seemingly	seemingly	ADV
roget	marvellous	marvellous	ADP
roget	a	a	DET
roget	character	character	NOUN
roget	that	that	PRON
roget	,	,	PUNCT
roget	as	as	ADP
roget	mere	mere	ADJ
roget	coincidences	coincidence	NOUN
roget	,	,	PUNCT
roget	the	the	DET
roget	intellect	intellect	NOUN
roget	has	have	AUX
roget	been	be	AUX
roget	unable	unable	ADJ
roget	to	to	PART
roget	receive	receive	VERB
roget	them	they	PRON
roget	.	.	PUNCT
roget	Such	such	ADJ
roget	sentiments	sentiment	NOUN
roget	--	--	PUNCT
roget	for	for	ADP
roget	the	the	DET
roget	half-credences	half-credence	NOUN
roget	of	of	ADP
roget	which	which	PRON
roget	I	I	PRON
roget	speak	speak	VERB
roget	have	have	AUX
roget	never	never	ADV
roget	the	the	DET
roget	full	full	ADJ
roget	force	force	NOUN
roget	of	of	ADP
roget	thought	thought	NOUN
roget	--	--	PUNCT
roget	such	such	ADJ
roget	sentiments	sentiment	NOUN
roget	are	be	AUX
roget	seldom	seldom	ADV
roget	thoroughly	thoroughly	ADV
roget	stifled	stifle	VERB
roget	unless	unless	SCONJ
roget	by	by	ADP
roget	reference	reference	NOUN
roget	to	to	ADP
roget	the	the	DET
roget	doctrine	doctrine	NOUN
roget	of	of	ADP
roget	chance	chance	NOUN
roget	,	,	PUNCT
roget	or	or	CCONJ
roget	,	,	PUNCT
roget	as	as	SCONJ
roget	it	it	PRON
roget	is	be	AUX
roget	technically	technically	ADV
roget	termed	term	VERB
roget	,	,	PUNCT
roget	the	the	DET
roget	Calculus	Calculus	NOUN
roget	of	of	ADP
roget	Probabilities	Probability	NOUN
roget	.	.	PUNCT
roget	Now	now	ADV
roget	this	this	DET
roget	Calculus	Calculus	NOUN
roget	is	be	AUX
roget	,	,	PUNCT
roget	in	in	ADP
roget	its	its	PRON
roget	essence	essence	NOUN
roget	,	,	PUNCT
roget	purely	purely	ADV
roget	mathematical	mathematical	ADJ
roget	;	;	PUNCT
roget	and	and	CCONJ
roget	thus	thus	ADV
roget	we	we	PRON
roget	have	have	VERB
roget	the	the	DET
roget	anomaly	anomaly	NOUN
roget	of	of	ADP
roget	the	the	DET
roget	most	most	ADV
roget	rigidly	rigidly	ADV
roget	exact	exact	ADV
roget	in	in	ADP
roget	science	science	NOUN
roget	applied	apply	VERB
roget	to	to	ADP
roget	the	the	DET
roget	shadow	shadow	NOUN
roget	and	and	CCONJ
roget	spirituality	spirituality	NOUN
roget	of	of	ADP
