doc_id	token	lemma	upos
baskervilles	THE	the	DET
baskervilles	HOUND	Hound	NOUN
baskervilles	OF	of	ADP
baskervilles	THE	the	DET
baskervilles	BASKERVILLES	BASKERVILLES	PROPN
baskervilles	Chapter	chapter	PROPN
baskervilles	1	1	NUM
baskervilles	.	.	PUNCT
baskervilles	Mr	Mr	PROPN
baskervilles	.	.	PUNCT
baskervilles	Sherlock	Sherlock	PROPN
baskervilles	Holmes	Holmes	PROPN
baskervilles	Mr	Mr	PROPN
baskervilles	.	.	PUNCT
baskervilles	Sherlock	Sherlock	PROPN
baskervilles	Holmes	Holmes	PROPN
baskervilles	,	,	PUNCT
baskervilles	who	who	PRON
baskervilles	was	be	AUX
baskervilles	usually	usually	ADV
baskervilles	very	very	ADV
baskervilles	late	late	ADV
baskervilles	in	in	ADP
baskervilles	the	the	DET
baskervilles	mornings	morning	NOUN
baskervilles	,	,	PUNCT
baskervilles	save	save	VERB
baskervilles	upon	upon	ADP
baskervilles	those	those	DET
baskervilles	not	not	ADV
baskervilles	infrequent	infrequent	ADJ
baskervilles	occasions	occasion	NOUN
baskervilles	when	when	ADV
baskervilles	he	he	PRON
baskervilles	was	be	VERB
baskervilles	up	up	ADP
baskervilles	all	all	DET
baskervilles	night	night	NOUN
baskervilles	,	,	PUNCT
baskervilles	was	be	AUX
baskervilles	seated	seat	VERB
baskervilles	at	at	ADP
baskervilles	the	the	DET
baskervilles	breakfast	breakfast	NOUN
baskervilles	table	table	NOUN
baskervilles	.	.	PUNCT
baskervilles	I	I	PRON
baskervilles	stood	stand	VERB
baskervilles	upon	upon	ADP
baskervilles	the	the	DET
baskervilles	hearth-rug	hearth-rug	NOUN
baskervilles	and	and	CCONJ
baskervilles	picked	pick	VERB
baskervilles	up	up	ADP
baskervilles	the	the	DET
baskervilles	stick	stick	NOUN
baskervilles	which	which	PRON
baskervilles	our	we	PRON
baskervilles	visitor	visitor	NOUN
baskervilles	had	have	AUX
baskervilles	left	leave	VERB
baskervilles	behind	behind	ADP
baskervilles	him	he	PRON
baskervilles	the	the	DET
baskervilles	night	night	NOUN
baskervilles	before	before	ADV
baskervilles	.	.	PUNCT
baskervilles	It	it	PRON
baskervilles	was	be	AUX
baskervilles	a	a	DET
baskervilles	fine	fine	ADJ
baskervilles	,	,	PUNCT
baskervilles	thick	thick	ADJ
baskervilles	piece	piece	NOUN
baskervilles	of	of	ADP
baskervilles	wood	wood	NOUN
baskervilles	,	,	PUNCT
baskervilles	bulbous-headed	bulbous-head	VERB
baskervilles	,	,	PUNCT
baskervilles	of	of	ADP
baskervilles	the	the	DET
baskervilles	sort	sort	NOUN
baskervilles	which	which	PRON
baskervilles	is	be	AUX
baskervilles	known	know	VERB
baskervilles	as	as	ADP
baskervilles	a	a	DET
baskervilles	"	"	PUNCT
baskervilles	Penang	Penang	NOUN
baskervilles	lawyer	lawyer	NOUN
baskervilles	.	.	PUNCT
baskervilles	"	"	PUNCT
baskervilles	Just	just	ADV
baskervilles	under	under	ADP
baskervilles	the	the	DET
baskervilles	head	head	NOUN
baskervilles	was	be	AUX
baskervilles	a	a	DET
baskervilles	broad	broad	ADJ
baskervilles	silver	silver	NOUN
baskervilles	band	band	NOUN
baskervilles	nearly	nearly	ADV
baskervilles	an	a	DET
baskervilles	inch	inch	NOUN
baskervilles	across	across	ADV
baskervilles	.	.	PUNCT
baskervilles	"	"	PUNCT
baskervilles	To	to	ADP
baskervilles	James	James	PROPN
baskervilles	Mortimer	Mortimer	PROPN
baskervilles	,	,	PUNCT
baskervilles	M	m	PROPN
baskervilles	.	.	PUNCT
baskervilles	R	R	PROPN
baskervilles	.	.	PUNCT
baskervilles	C	C	PROPN
baskervilles	.	.	PUNCT
baskervilles	S	s	PROPN
baskervilles	.	.	PUNCT
baskervilles	,	,	PUNCT
baskervilles	from	from	ADP
baskervilles	his	he	PRON
baskervilles	friends	friend	NOUN
baskervilles	of	of	ADP
baskervilles	the	the	DET
baskervilles	C	c	PROPN
baskervilles	.	.	PUNCT
baskervilles	C	C	PROPN
baskervilles	.	.	PUNCT
baskervilles	H	h	PROPN
baskervilles	.	.	PUNCT
baskervilles	,	,	PUNCT
baskervilles	"	"	PUNCT
baskervilles	was	be	AUX
baskervilles	engraved	engrave	VERB
baskervilles	upon	upon	ADP
baskervilles	it	it	PRON
baskervilles	,	,	PUNCT
baskervilles	with	with	ADP
baskervilles	the	the	DET
baskervilles	date	date	NOUN
baskervilles	"	"	PUNCT
baskervilles	1884	1884	NUM
baskervilles	.	.	PUNCT
baskervilles	"	"	PUNCT
baskervilles	It	it	PRON
baskervilles	was	be	AUX
baskervilles	just	just	ADV
baskervilles	such	such	DET
baskervilles	a	a	DET
baskervilles	stick	stick	NOUN
baskervilles	as	as	ADP
baskervilles	the	the	DET
baskervilles	old-fashioned	old-fashioned	ADJ
baskervilles	family	family	NOUN
baskervilles	practitioner	practitioner	NOUN
baskervilles	used	use	VERB
baskervilles	to	to	PART
baskervilles	carry	carry	VERB
baskervilles	--	--	PUNCT
baskervilles	dignified	dignify	VERB
baskervilles	,	,	PUNCT
baskervilles	solid	solid	ADJ
baskervilles	,	,	PUNCT
baskervilles	and	and	CCONJ
baskervilles	reassuring	reassure	VERB
baskervilles	.	.	PUNCT
baskervilles	"	"	PUNCT
baskervilles	Well	well	INTJ
baskervilles	,	,	PUNCT
baskervilles	Watson	Watson	PROPN
baskervilles	,	,	PUNCT
baskervilles	what	what	PRON
baskervilles	do	do	AUX
baskervilles	you	you	PRON
baskervilles	make	make	VERB
baskervilles	of	of	ADP
baskervilles	it	it	PRON
baskervilles	?	?	PUNCT
baskervilles	"	"	PUNCT
baskervilles	Holmes	Holmes	NOUN
baskervilles	was	be	AUX
baskervilles	sitting	sit	VERB
baskervilles	with	with	ADP
baskervilles	his	he	PRON
baskervilles	back	back	ADV
baskervilles	to	to	ADP
baskervilles	me	I	PRON
baskervilles	,	,	PUNCT
baskervilles	and	and	CCONJ
baskervilles	I	I	PRON
baskervilles	had	have	AUX
baskervilles	given	give	VERB
baskervilles	him	he	PRON
baskervilles	no	no	DET
baskervilles	sign	sign	NOUN
baskervilles	of	of	ADP
baskervilles	my	my	PRON
baskervilles	occupation	occupation	NOUN
baskervilles	.	.	PUNCT
baskervilles	"	"	PUNCT
baskervilles	How	how	ADV
baskervilles	did	do	AUX
baskervilles	you	you	PRON
baskervilles	know	know	VERB
baskervilles	what	what	PRON
baskervilles	I	i	PRON
baskervilles	was	be	AUX
baskervilles	doing	do	VERB
baskervilles	?	?	PUNCT
baskervilles	I	I	PRON
baskervilles	believe	believe	VERB
baskervilles	you	you	PRON
baskervilles	have	have	VERB
baskervilles	eyes	eye	NOUN
baskervilles	in	in	ADP
baskervilles	the	the	DET
baskervilles	back	back	NOUN
baskervilles	of	of	ADP
baskervilles	your	you	PRON
baskervilles	head	head	NOUN
baskervilles	.	.	PUNCT
baskervilles	"	"	PUNCT
baskervilles	"	"	PUNCT
baskervilles	I	I	PRON
baskervilles	have	have	VERB
baskervilles	,	,	PUNCT
baskervilles	at	at	ADV
baskervilles	least	least	ADV
baskervilles	,	,	PUNCT
baskervilles	a	a	DET
baskervilles	well-polished	well-polished	ADJ
baskervilles	,	,	PUNCT
baskervilles	silver-plated	silver-plated	ADJ
baskervilles	coffee-pot	coffee-pot	NOUN
